rank,ticker1,ticker2,pair_name,p_value,correlation,spread_window,zscore_window,entry_threshold,exit_threshold,total_return,annual_return,sharpe_ratio,max_drawdown,num_trades,win_rate,final_equity
1,V,CMCSA,V_CMCSA,0.00054393863963561,0.8789238902266693,30,70,1.0,0.0,-2.8834109107921137e+18,,1.6454783731125602,-1945.1693334066622,21,0.8571428571428571,-2.8834109107921136e+23
2,MA,PPG,MA_PPG,0.0013845930449840774,0.8497618348072223,30,70,2.0,0.0,-149028064744145.97,,1.3675773170927388,-679697678.3827554,13,0.38461538461538464,-1.4902806474414498e+19
3,MA,LRCX,MA_LRCX,0.005954683788853292,0.8039875876865448,30,70,1.0,0.0,3.237516309147589e+17,75121.79355301171,1.9275816453070227,-20309.66338388113,24,0.7083333333333334,3.2375163091475893e+22
4,TMO,AMD,TMO_AMD,0.009161324466843456,0.9471403474666561,30,70,1.0,0.0,2.144884955927982e+27,40786128.69402669,2.1576535450546555,-205930992.85123932,29,0.6551724137931034,2.144884955927982e+32
5,SBUX,CMCSA,SBUX_CMCSA,0.009542973387262831,0.9415456244594028,30,70,1.0,0.0,-1.9702479614793724e+16,,1.961982786221348,-6949201.110541058,25,0.52,-1.9702479614793723e+21
6,MA,CMCSA,MA_CMCSA,0.008229408231245372,0.8204320294356078,30,70,1.0,0.0,-1.4517990957476102e+19,,1.4782999947952866,-1766.0805090933343,21,0.8571428571428571,-1.4517990957476103e+24
7,BKNG,LRCX,BKNG_LRCX,0.004570442972908788,0.8779903037183129,30,50,1.5,0.0,-3.294583114697076e+37,,1.3501176825300485,-50442332.45335846,22,0.5909090909090909,-3.294583114697076e+42
8,BKNG,AMAT,BKNG_AMAT,0.006381832554400675,0.8828904092532729,30,70,1.0,0.0,4.59047342073128e+40,210095994507.54755,0.6429483273158504,-4562723930.150778,22,0.5,4.5904734207312805e+45
9,MCD,NVDA,MCD_NVDA,0.007517199973133409,0.8911975417546746,30,50,1.5,0.0,-5070828991.819388,,1.4985515802357388,-3454469273.5760756,20,0.15,-507082899081938.8
10,UAL,LUV,UAL_LUV,0.0004917054388921714,0.7948501401380439,30,70,1.0,0.0,1424076113916068.8,16577.581429440637,1.566490055671259,-4.667617164846096,26,0.9230769230769231,1.4240761139160696e+20
